coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
11,2401,2404,1305,573,587,Dorsal motor nucleus of the vagus nerve,left
11,2427,2806,1295,597,475,"Medullary reticular nucleus, dorsal part",right
12,2469,2381,1305,592,594,Medulla,left
13,2452,2327,1304,585,609,Intermediate reticular nucleus,left
14,2425,2349,1303,578,603,Medulla,left
14,2451,2328,1303,585,609,Intermediate reticular nucleus,left
15,2448,2333,1302,585,608,Medulla,left
15,2478,2365,1303,594,600,Medulla,left
17,2465,2369,1303,590,598,Medulla,left
17,2498,2365,1303,600,600,"Medullary reticular nucleus, ventral part",left
17,2410,2403,1303,575,587,Dorsal motor nucleus of the vagus nerve,left
17,2411,2812,1293,593,473,"Medullary reticular nucleus, dorsal part",right
17,2439,2337,1302,582,606,Medulla,left
16,2389,2399,1303,569,588,Dorsal motor nucleus of the vagus nerve,left
16,2416,2812,1293,594,473,"Medullary reticular nucleus, dorsal part",right
20,2421,2362,1301,576,599,Medulla,left
20,2421,2339,1300,575,606,Medulla,left
18,2430,2335,1301,578,607,Medulla,left
21,2390,2393,1301,568,590,Dorsal motor nucleus of the vagus nerve,left
21,2421,2348,1300,576,603,Medulla,left
22,2427,2380,1300,578,595,Hypoglossal nucleus,left
24,2418,2351,1298,575,601,Medulla,left
24,2527,2834,1291,624,470,"Medullary reticular nucleus, dorsal part",right
25,2371,2405,1300,562,586,Dorsal motor nucleus of the vagus nerve,left
25,2377,2390,1299,563,591,Dorsal motor nucleus of the vagus nerve,left
25,2391,2821,1289,587,470,"Medullary reticular nucleus, dorsal part",right
25,2414,2377,1299,574,594,Medulla,left
26,2519,2495,1299,609,564,Medulla,right
26,2249,2386,1303,530,590,Gracile nucleus,left
27,2746,2418,1315,678,590,Medulla,left
27,2412,2383,1297,573,593,Hypoglossal nucleus,left
27,2564,2312,1299,618,616,"Medullary reticular nucleus, ventral part",left
28,2345,2393,1298,555,589,Dorsal motor nucleus of the vagus nerve,left
28,2584,2315,1300,624,616,"Medullary reticular nucleus, ventral part",left
29,2750,2427,1316,680,587,Medulla,left
29,2258,2433,1302,534,577,Nucleus of the solitary tract,left
29,2477,2257,1295,590,629,Intermediate reticular nucleus,left
30,2473,2297,1295,590,618,Intermediate reticular nucleus,left
30,2720,2471,1313,671,574,pyramidal decussation,left
33,2236,2454,1301,528,571,Medulla,left
33,2242,2434,1301,529,576,Medulla,left
33,2255,2442,1300,533,574,Nucleus of the solitary tract,left
33,2743,2435,1314,678,586,Medulla,left
32,2376,2833,1286,583,467,"Medullary reticular nucleus, dorsal part",right
32,2713,2478,1311,669,573,pyramidal decussation,left
34,2221,2371,1301,522,593,Gracile nucleus,left
34,2420,2505,1294,580,558,Hypoglossal nucleus,right
34,2442,2286,1293,579,620,"Medullary reticular nucleus, dorsal part",left
34,2832,2097,1315,699,673,Medulla,left
34,2220,2370,1301,522,595,Gracile nucleus,left
34,2234,2433,1300,528,576,Medulla,left
34,2245,2452,1300,531,571,Medulla,left
34,2733,2533,1313,677,558,Medulla,right
35,2407,2387,1293,571,591,Hypoglossal nucleus,left
35,1852,2455,1308,456,569,Uvula (IX),right
35,2219,2369,1300,522,595,Gracile nucleus,left
39,2686,2512,1306,660,562,Medulla,right
39,1881,2561,1309,463,540,Uvula (IX),right
39,2214,2359,1298,520,598,Gracile nucleus,left
39,2363,2843,1283,580,464,"Medullary reticular nucleus, dorsal part",right
36,2338,2372,1295,552,594,Dorsal motor nucleus of the vagus nerve,left
38,2444,2279,1291,580,622,Intermediate reticular nucleus,left
38,2364,2842,1284,580,464,"Medullary reticular nucleus, dorsal part",right
37,2724,2535,1311,674,558,Medulla,right
41,1883,2559,1308,464,541,Uvula (IX),right
41,2224,2358,1298,522,598,Gracile nucleus,left
41,2707,2534,1308,667,557,Medulla,right
40,2842,2085,1314,701,677,Medulla,left
42,2483,2262,1289,592,627,Intermediate reticular nucleus,left
43,2610,2331,1296,632,611,"Medullary reticular nucleus, ventral part",left
45,2265,2342,1295,532,602,Nucleus of the solitary tract,left
45,2615,2336,1296,634,610,"Medullary reticular nucleus, ventral part",left
46,2712,2050,1296,662,685,Intermediate reticular nucleus,left
46,1830,2445,1305,452,571,Uvula (IX),left
48,2716,2320,1303,665,617,"Medullary reticular nucleus, ventral part",left
48,2675,2749,1298,662,497,"Medullary reticular nucleus, ventral part",right
47,2811,2163,1309,692,657,"Medullary reticular nucleus, ventral part",left
50,2512,2300,1288,600,618,"Medullary reticular nucleus, ventral part",left
50,2680,2539,1302,659,555,Medulla,right
50,2761,2520,1310,684,563,pyramidal decussation,right
51,2854,2238,1314,707,637,Medulla,left
55,2533,2327,1287,609,610,"Medullary reticular nucleus, ventral part",left
58,2683,2539,1300,660,555,Medulla,right
59,2766,2601,1307,686,539,Medulla,right
59,2325,2878,1280,572,455,"Medullary reticular nucleus, dorsal part",right
61,1801,2445,1301,445,571,Uvula (IX),left
60,2354,2162,1282,555,650,"Medullary reticular nucleus, dorsal part",left
65,2763,2601,1306,686,539,Medulla,right
65,2816,2523,1310,701,562,Medulla,right
66,1425,2278,1316,362,604,Pyramus (VIII),left
66,2636,2379,1292,641,599,"Medullary reticular nucleus, ventral part",left
66,1432,2276,1315,363,604,Pyramus (VIII),left
66,2315,2884,1279,570,454,"Medullary reticular nucleus, dorsal part",right
66,2667,2553,1296,654,550,Medulla,right
67,1451,2275,1313,367,605,Pyramus (VIII),left
67,2760,2602,1305,684,539,Medulla,right
67,2859,2550,1313,715,556,Medulla,right
67,1412,2278,1316,359,604,Pyramus (VIII),left
67,2322,2303,1284,547,612,Dorsal motor nucleus of the vagus nerve,left
67,2323,2304,1284,548,612,Dorsal motor nucleus of the vagus nerve,left
69,1421,2284,1315,361,603,Pyramus (VIII),left
69,1427,2290,1314,362,601,Pyramus (VIII),left
69,2645,2078,1283,642,676,Intermediate reticular nucleus,left
69,2753,2603,1304,683,539,Medulla,right
68,2658,2047,1284,647,683,Intermediate reticular nucleus,left
72,2827,2525,1309,704,562,Medulla,right
72,2575,2342,1286,622,606,"Medullary reticular nucleus, ventral part",left
72,2578,2338,1286,624,608,"Medullary reticular nucleus, ventral part",left
72,2628,2406,1291,641,590,Medulla,left
71,1370,2278,1316,349,603,Pyramus (VIII),left
73,1431,2275,1313,363,605,Pyramus (VIII),left
73,1436,2291,1312,364,600,Pyramus (VIII),left
73,2576,2341,1286,622,606,"Medullary reticular nucleus, ventral part",left
73,2710,2510,1299,667,564,pyramidal decussation,right
73,2743,2607,1302,679,537,Medulla,right
73,2559,2348,1285,618,605,"Medullary reticular nucleus, ventral part",left
73,2691,2477,1297,661,572,pyramidal decussation,left
77,1411,2278,1312,359,603,Pyramus (VIII),left
77,2734,2607,1300,676,537,Medulla,right
76,2885,2257,1309,716,632,Medulla,left
76,2739,2270,1297,672,629,"Medullary reticular nucleus, ventral part",left
76,2655,2286,1289,646,623,"Medullary reticular nucleus, ventral part",left
76,2736,2607,1300,676,537,Medulla,right
75,2649,2411,1292,647,589,Medulla,left
75,2832,2529,1308,705,561,Medulla,right
75,2637,2294,1288,640,621,"Medullary reticular nucleus, ventral part",left
74,2831,2528,1309,705,561,Medulla,right
78,1470,2214,1309,372,618,Pyramus (VIII),left
78,2837,2530,1308,707,561,Medulla,right
80,1418,2260,1310,361,607,Pyramus (VIII),left
80,2544,2375,1283,615,597,"Medullary reticular nucleus, ventral part",left
80,2865,2196,1306,708,647,Medulla,left
82,2543,2380,1283,615,595,"Medullary reticular nucleus, ventral part",left
82,2647,2566,1291,649,546,Medulla,right
81,2727,2529,1299,673,559,Medulla,right
81,2866,2566,1310,717,550,Medulla,right
83,2721,2606,1297,672,537,Medulla,right
83,2866,2241,1306,709,636,Medulla,left
83,2821,2563,1306,702,551,Medulla,right
83,2645,2566,1290,649,546,Medulla,right
84,1773,2452,1296,439,568,Uvula (IX),right
84,1411,2260,1309,359,607,Pyramus (VIII),left
85,2581,2472,1285,628,570,Medulla,right
86,2418,2405,1278,581,585,Hypoglossal nucleus,left
89,2783,2235,1298,685,638,"Medullary reticular nucleus, ventral part",left
89,1405,2259,1307,358,607,Pyramus (VIII),left
89,2540,2438,1282,616,578,Medulla,left
89,2605,2491,1286,636,565,Medulla,right
89,2707,2603,1295,667,538,Medulla,right
89,2760,3012,1301,695,433,Medulla,right
89,2543,2442,1282,618,577,Medulla,left
88,2538,2436,1282,616,578,Medulla,left
94,2860,2536,1305,715,558,Medulla,right
