coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
12,2430,2057,1295,580,460,"Medullary reticular nucleus, dorsal part",right
14,2425,2349,1302,577,538,Medulla,right
15,2543,2352,1302,612,536,"Medullary reticular nucleus, ventral part",right
17,2546,2525,1302,616,586,"Medullary reticular nucleus, ventral part",left
20,2421,2362,1299,575,541,Medulla,right
19,2422,2383,1299,576,548,Hypoglossal nucleus,right
26,2519,2495,1297,607,578,Hypoglossal nucleus,left
28,2584,2315,1297,622,525,"Medullary reticular nucleus, ventral part",right
29,2258,2433,1298,533,564,Nucleus of the solitary tract,right
34,2743,2435,1311,675,556,Medulla,right
33,2255,2442,1297,531,566,Nucleus of the solitary tract,right
33,2438,2330,1293,579,532,Medulla,right
33,2713,2478,1309,666,569,pyramidal decussation,right
35,2420,2505,1291,578,582,Hypoglossal nucleus,left
37,2687,2513,1304,657,580,Medulla,left
38,2215,2359,1296,519,543,Gracile nucleus,right
40,2841,2085,1311,697,464,Medulla,right
42,2223,2358,1295,522,543,Gracile nucleus,right
41,2683,2512,1303,657,578,Medulla,left
46,2712,2050,1292,658,454,Intermediate reticular nucleus,right
48,2716,2320,1301,662,524,"Medullary reticular nucleus, ventral part",right
47,2811,2162,1306,688,482,"Medullary reticular nucleus, ventral part",right
51,2854,2238,1312,703,503,Medulla,right
55,2533,2327,1286,608,529,"Medullary reticular nucleus, ventral part",right
60,2354,2162,1282,555,488,"Medullary reticular nucleus, dorsal part",right
65,2816,2523,1309,698,580,Medulla,left
68,2658,2047,1282,645,455,Intermediate reticular nucleus,right
69,2645,2077,1281,640,462,Intermediate reticular nucleus,right
70,2237,2393,1286,528,554,Nucleus of the solitary tract,right
76,2885,2257,1309,712,507,Medulla,right
83,2866,2241,1305,705,503,Medulla,right
86,2418,2405,1278,581,555,Hypoglossal nucleus,right
89,2783,2235,1297,681,502,"Medullary reticular nucleus, ventral part",right
100,1222,2035,1316,314,482,Pyramus (VIII),right
102,1310,2814,1310,332,658,Pyramus (VIII),left
105,2755,2155,1290,673,483,"Medullary reticular nucleus, ventral part",right
113,1270,2067,1307,327,490,Pyramus (VIII),right
115,2785,2786,1297,691,646,"Medullary reticular nucleus, ventral part",left
121,2703,2087,1282,662,469,"Medullary reticular nucleus, ventral part",right
123,2091,2188,1279,509,504,Cuneate nucleus,right
123,2327,2120,1269,561,488,"Medullary reticular nucleus, dorsal part",right
126,2254,2073,1270,545,478,Medulla,right
126,2289,2727,1275,559,641,"Medullary reticular nucleus, dorsal part",left
131,2126,2252,1277,517,519,Nucleus of the solitary tract,right
136,2422,1985,1262,590,459,"Medullary reticular nucleus, dorsal part",right
137,2463,2851,1266,611,663,Intermediate reticular nucleus,left
138,2463,2839,1266,611,661,Intermediate reticular nucleus,left
139,2426,2992,1263,607,694,"Medullary reticular nucleus, dorsal part",left
141,2754,2970,1289,689,686,Intermediate reticular nucleus,left
149,2371,2979,1263,593,692,"Medullary reticular nucleus, dorsal part",left
154,2766,2232,1280,681,507,"Medullary reticular nucleus, ventral part",right
154,2765,2296,1280,682,523,Medulla,right
157,2860,3081,1285,722,713,"Lateral reticular nucleus, magnocellular part",left
163,2386,1956,1257,585,459,"Medullary reticular nucleus, dorsal part",right
165,2476,2422,1265,608,562,Medulla,right
165,2561,1851,1258,630,434,"Medullary reticular nucleus, dorsal part",right
162,2488,1827,1256,611,431,"Medullary reticular nucleus, dorsal part",right
169,1550,1895,1287,395,458,Copula pyramidis,right
166,1577,1916,1287,399,462,Pyramus (VIII),right
171,1548,1893,1286,395,459,Copula pyramidis,right
171,2227,2180,1264,545,507,Nucleus of the solitary tract,right
172,2104,2699,1274,521,632,Cuneate nucleus,left
174,1551,1899,1285,394,460,Copula pyramidis,right
176,2063,2653,1273,513,622,Nucleus of the solitary tract,left
176,2487,1902,1254,612,448,"Medullary reticular nucleus, dorsal part",right
177,2461,2853,1259,613,659,Intermediate reticular nucleus,left
178,1537,1889,1284,391,458,Copula pyramidis,right
178,2133,2916,1271,535,678,Medulla,left
178,2522,2070,1258,623,483,Intermediate reticular nucleus,right
178,2518,1953,1256,622,458,"Medullary reticular nucleus, dorsal part",right
179,2426,2978,1256,608,685,"Medullary reticular nucleus, dorsal part",left
181,2237,2178,1262,549,508,Medulla,right
180,2054,2198,1267,510,514,Nucleus of the solitary tract,right
182,2562,2887,1261,640,662,Intermediate reticular nucleus,left
185,2777,2126,1270,687,486,"Medullary reticular nucleus, ventral part",right
186,1538,1897,1282,392,460,Copula pyramidis,right
189,2382,2193,1257,586,513,Intermediate reticular nucleus,right
189,2406,1942,1252,593,459,"Medullary reticular nucleus, dorsal part",right
189,2764,2828,1274,687,650,"Medullary reticular nucleus, ventral part",left
201,2151,2843,1262,536,660,Medulla,left
199,2370,2982,1251,594,685,"Medullary reticular nucleus, dorsal part",left
198,2438,1786,1246,601,430,"Medullary reticular nucleus, dorsal part",right
198,2888,2034,1270,715,464,"Lateral reticular nucleus, magnocellular part",right
200,2173,2369,1262,535,553,Dorsal motor nucleus of the vagus nerve,right
200,2664,2803,1263,663,643,"Medullary reticular nucleus, ventral part",left
202,2591,2347,1257,642,546,Medulla,right
204,2006,2105,1258,499,498,Cuneate nucleus,right
204,2639,3146,1256,663,714,"Medullary reticular nucleus, dorsal part",left
205,2583,3097,1254,650,703,"Medullary reticular nucleus, dorsal part",left
206,2699,2907,1262,673,664,"Medullary reticular nucleus, ventral part",left
209,2380,1911,1246,588,455,"Medullary reticular nucleus, dorsal part",right
209,2787,3081,1262,697,702,"Lateral reticular nucleus, magnocellular part",left
210,2666,3151,1255,669,715,"Medullary reticular nucleus, dorsal part",left
211,2798,3010,1263,699,687,"Lateral reticular nucleus, magnocellular part",left
211,2712,3140,1256,680,713,Intermediate reticular nucleus,left
213,2226,1909,1249,549,455,"Medullary reticular nucleus, dorsal part",right
215,2435,2424,1252,600,566,Medulla,right
217,2645,3159,1251,664,716,"Medullary reticular nucleus, dorsal part",left
223,931,1871,1275,234,445,Declive (VI),right
223,2845,1746,1250,701,407,"Lateral reticular nucleus, magnocellular part",right
220,2435,1789,1239,601,433,Parvicellular reticular nucleus,right
218,2319,3058,1246,582,700,"Medullary reticular nucleus, dorsal part",left
221,2169,2778,1253,538,645,Nucleus of the solitary tract,left
221,920,1868,1277,231,445,Declive (VI),right
222,2761,3150,1253,691,716,Intermediate reticular nucleus,left
222,2754,3203,1251,691,729,"Lateral reticular nucleus, magnocellular part",left
235,2128,2922,1248,531,673,Nucleus of the solitary tract,left
225,2736,3111,1252,684,706,Intermediate reticular nucleus,left
227,2864,2738,1255,705,632,Medulla,left
227,2780,2961,1255,691,675,"Lateral reticular nucleus, magnocellular part",left
227,2936,2765,1255,724,640,Inferior olivary complex,left
224,2970,2778,1256,734,644,Inferior olivary complex,left
231,2717,2978,1250,677,678,"Medullary reticular nucleus, ventral part",left
237,2836,2966,1252,704,677,"Lateral reticular nucleus, magnocellular part",left
234,2027,2810,1252,504,649,Parasolitary nucleus,left
234,2970,2778,1251,732,644,Inferior olivary complex,left
238,2846,2876,1251,703,660,Medulla,left
242,2681,3174,1241,671,720,Intermediate reticular nucleus,left
244,2510,2469,1240,620,575,Medulla,left
244,2974,3034,1244,742,698,Medulla,left
244,2197,2772,1242,543,642,Nucleus of the solitary tract,left
246,924,1912,1264,230,455,Declive (VI),right
245,2174,2081,1240,536,491,Nucleus of the solitary tract,right
245,2125,2930,1245,529,675,Nucleus of the solitary tract,left
247,2795,3293,1237,700,750,"Lateral reticular nucleus, magnocellular part",left
252,2505,2467,1237,618,574,Medulla,left
252,2450,2019,1233,607,479,Intermediate reticular nucleus,right
249,2821,1584,1234,692,376,Medulla,right
250,2297,2886,1235,570,665,Parvicellular reticular nucleus,left
257,1960,2000,1237,486,480,Cuneate nucleus,right
257,2023,2813,1242,502,649,Parasolitary nucleus,left
257,2018,1959,1235,498,470,Cuneate nucleus,right
257,2942,1925,1239,724,447,"Lateral reticular nucleus, magnocellular part",right
257,2092,1949,1234,515,466,Parasolitary nucleus,right
251,2766,3328,1235,692,758,Medulla,left
253,2706,2702,1239,667,620,"Medullary reticular nucleus, ventral part",left
253,2769,3006,1242,689,684,"Lateral reticular nucleus, magnocellular part",left
253,2784,3161,1239,695,718,"Lateral reticular nucleus, magnocellular part",left
253,2852,2858,1244,702,656,Medulla,left
256,2856,2732,1239,699,629,Medulla,left
254,2009,1918,1236,495,460,Cuneate nucleus,right
259,2012,1939,1234,496,465,Cuneate nucleus,right
258,2707,2696,1236,667,619,"Medullary reticular nucleus, ventral part",left
264,1215,1929,1248,308,466,Folium-tuber vermis (VII),right
260,2796,3088,1237,696,702,"Lateral reticular nucleus, magnocellular part",left
262,2594,1783,1226,643,429,Parvicellular reticular nucleus,right
262,2860,2021,1237,705,471,"Lateral reticular nucleus, magnocellular part",right
263,2797,3176,1233,697,722,"Lateral reticular nucleus, magnocellular part",left
263,2788,3057,1235,693,695,"Lateral reticular nucleus, magnocellular part",left
265,2506,2295,1232,619,539,Gigantocellular reticular nucleus,right
266,2799,3241,1230,699,737,"Lateral reticular nucleus, magnocellular part",left
269,2789,1917,1231,689,451,"Lateral reticular nucleus, magnocellular part",right
270,2682,2746,1230,662,630,Gigantocellular reticular nucleus,left
271,2686,2942,1230,668,670,"Lateral reticular nucleus, magnocellular part",left
273,1979,2944,1237,492,678,Cuneate nucleus,left
273,2687,2945,1230,668,671,"Lateral reticular nucleus, magnocellular part",left
274,2849,3198,1227,711,729,rubrospinal tract,left
276,2854,2726,1228,696,627,Medulla,left
276,3004,2777,1226,734,642,Inferior olivary complex,left
276,2412,1743,1217,596,423,Parvicellular reticular nucleus,right
278,2053,1895,1224,505,454,Spinal vestibular nucleus,right
278,2736,2729,1226,672,626,Gigantocellular reticular nucleus,left
281,2730,2731,1225,671,626,Gigantocellular reticular nucleus,left
282,2813,3105,1225,699,706,"Lateral reticular nucleus, magnocellular part",left
285,2841,2989,1226,701,682,"Lateral reticular nucleus, magnocellular part",left
288,2942,2975,1223,724,681,Medulla,left
290,2849,2726,1220,694,627,Medulla,left
291,2749,2740,1219,674,628,Gigantocellular reticular nucleus,left
292,2884,2838,1221,705,652,Medulla,left
294,2037,2804,1223,500,647,Medial vestibular nucleus,left
296,2768,3357,1213,691,763,Medulla,left
297,2008,2949,1224,497,679,Spinal vestibular nucleus,left
298,2806,2822,1217,687,646,"Lateral reticular nucleus, magnocellular part",left
298,2847,2724,1216,693,626,Medulla,left
