coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
11,3808,3570,519,292,240,Medulla,left
14,3655,3561,521,277,239,Medulla,left
17,3235,3909,524,239,268,"Medullary reticular nucleus, dorsal part",left
20,3225,3042,526,240,192,"Medullary reticular nucleus, dorsal part",right
23,3097,2961,526,228,185,"Spinal nucleus of the trigeminal, caudal part",right
24,3079,3121,526,225,199,"Medullary reticular nucleus, dorsal part",right
34,3325,3596,520,247,241,"Medullary reticular nucleus, ventral part",left
40,3041,3997,521,219,276,"Spinal nucleus of the trigeminal, caudal part",left
58,3100,3054,519,226,193,"Medullary reticular nucleus, dorsal part",right
58,3026,3041,520,219,192,Medulla,right
58,3135,2948,519,230,184,"Medullary reticular nucleus, dorsal part",right
59,3167,3003,519,233,189,"Medullary reticular nucleus, dorsal part",right
61,3609,3778,512,272,257,"Medullary reticular nucleus, ventral part",left
64,3345,4029,512,248,278,"Medullary reticular nucleus, dorsal part",left
64,3130,2969,518,229,186,"Medullary reticular nucleus, dorsal part",right
68,3479,4081,510,259,282,"Medullary reticular nucleus, dorsal part",left
69,3583,4103,509,269,285,"Medullary reticular nucleus, dorsal part",left
86,3518,2635,508,265,157,"Spinal nucleus of the trigeminal, caudal part",right
86,2316,2369,522,152,132,Paramedian lobule,right
86,3412,4083,508,253,283,"Medullary reticular nucleus, dorsal part",left
89,3308,4067,508,243,281,"Medullary reticular nucleus, dorsal part",left
92,3586,4111,505,268,286,"Medullary reticular nucleus, dorsal part",left
92,3598,3675,506,270,249,"Medullary reticular nucleus, ventral part",left
92,3164,4127,509,229,286,"Spinal nucleus of the trigeminal, caudal part",left
93,3082,2968,512,224,186,"Medullary reticular nucleus, dorsal part",right
93,3149,2959,512,230,186,"Medullary reticular nucleus, dorsal part",right
94,3071,4006,509,220,275,"Medullary reticular nucleus, dorsal part",left
99,3833,3749,501,291,255,Inferior olivary complex,left
99,3147,2923,510,230,183,"Medullary reticular nucleus, dorsal part",right
99,3129,2990,511,228,188,"Medullary reticular nucleus, dorsal part",right
97,3841,3746,502,291,255,Inferior olivary complex,left
101,3179,2934,510,232,184,"Medullary reticular nucleus, dorsal part",right
101,3595,4151,502,269,289,"Medullary reticular nucleus, dorsal part",left
100,3075,3009,511,223,190,"Medullary reticular nucleus, dorsal part",right
102,3822,3785,501,289,259,Medulla,left
103,3571,4159,502,267,290,"Medullary reticular nucleus, dorsal part",left
104,3354,4265,504,246,297,"Spinal nucleus of the trigeminal, caudal part",left
108,3147,2942,508,230,184,"Medullary reticular nucleus, dorsal part",right
108,3007,3055,510,216,193,Medulla,right
108,3076,3809,507,220,259,Medulla,left
106,3323,3967,505,244,272,"Medullary reticular nucleus, dorsal part",left
107,3145,4066,506,227,281,"Medullary reticular nucleus, dorsal part",left
109,3840,3729,499,290,253,Inferior olivary complex,left
109,3017,2949,510,216,185,Medulla,right
111,3850,3726,499,291,253,Inferior olivary complex,left
111,2320,2390,517,153,134,Paramedian lobule,right
111,3212,4074,505,233,282,"Medullary reticular nucleus, dorsal part",left
111,3466,3860,503,256,264,"Medullary reticular nucleus, ventral part",left
112,3083,3000,509,223,189,"Medullary reticular nucleus, dorsal part",right
112,3187,2898,508,233,181,"Medullary reticular nucleus, dorsal part",right
113,2985,3003,509,214,189,Medulla,right
113,2993,2958,509,214,186,Medulla,right
113,3261,4226,503,237,294,"Spinal nucleus of the trigeminal, caudal part",left
113,3215,2706,506,236,163,"Spinal nucleus of the trigeminal, caudal part",right
114,2982,3879,507,211,265,Cuneate nucleus,left
114,3060,3073,508,221,195,"Medullary reticular nucleus, dorsal part",right
115,3422,2706,503,256,163,"Medullary reticular nucleus, dorsal part",right
115,3008,4078,505,214,282,"Spinal nucleus of the trigeminal, caudal part",left
115,2027,2765,521,121,167,Paramedian lobule,right
116,3820,3733,498,289,254,Inferior olivary complex,left
116,2965,3012,509,211,190,Cuneate nucleus,right
117,3025,2978,509,217,187,Medulla,right
117,1970,2745,521,116,166,Paramedian lobule,right
117,1998,2758,521,118,167,Paramedian lobule,right
120,2533,2143,512,173,110,Paramedian lobule,right
120,3113,2936,507,226,184,"Medullary reticular nucleus, dorsal part",right
119,3108,2869,507,226,178,"Medullary reticular nucleus, dorsal part",right
119,1996,2759,520,118,168,Paramedian lobule,right
118,2024,2765,520,121,168,Paramedian lobule,right
118,3061,3994,504,218,275,"Medullary reticular nucleus, dorsal part",left
121,2045,2775,519,123,169,Paramedian lobule,right
122,1960,2747,521,114,166,Paramedian lobule,right
122,2999,3912,505,212,268,Medulla,left
124,2016,2765,519,119,168,Paramedian lobule,right
124,3129,3962,503,224,272,"Medullary reticular nucleus, dorsal part",left
124,3739,3484,498,281,233,Inferior olivary complex,left
123,2522,2133,511,172,110,Paramedian lobule,right
123,2000,2760,519,118,168,Paramedian lobule,right
123,3016,3950,504,213,271,Medulla,left
123,2540,2145,511,173,112,Paramedian lobule,right
128,2480,2120,511,167,109,Paramedian lobule,right
128,3762,3722,496,283,253,Medulla,left
130,2486,2107,511,168,108,Paramedian lobule,right
130,2966,3034,506,211,192,Cuneate nucleus,right
130,3030,2857,505,217,177,"Medullary reticular nucleus, dorsal part",right
130,3097,3994,502,221,275,"Medullary reticular nucleus, dorsal part",left
126,3853,3827,496,290,262,Medulla,left
126,3647,4151,497,273,289,Intermediate reticular nucleus,left
127,2953,4120,504,207,286,"Spinal nucleus of the trigeminal, caudal part",left
127,3562,4142,498,265,287,"Medullary reticular nucleus, dorsal part",left
127,1960,2599,520,114,153,Crus 2,right
129,3806,3761,496,286,256,Medulla,left
129,2992,3970,503,210,273,Medulla,left
131,3319,4315,499,242,301,"Spinal nucleus of the trigeminal, caudal part",left
131,3229,2826,503,236,174,"Medullary reticular nucleus, dorsal part",right
132,2029,2769,518,120,169,Paramedian lobule,right
132,2983,2989,506,213,188,Medulla,right
132,3135,2905,504,228,181,"Medullary reticular nucleus, dorsal part",right
132,3154,4018,502,226,276,"Medullary reticular nucleus, dorsal part",left
132,3512,3978,498,260,274,Intermediate reticular nucleus,left
132,3687,3556,498,276,238,Inferior olivary complex,left
132,3182,2848,504,233,177,"Medullary reticular nucleus, dorsal part",right
133,2988,2830,505,213,174,"Spinal nucleus of the trigeminal, caudal part",right
133,3129,2799,503,227,172,"Medullary reticular nucleus, dorsal part",right
133,2950,2911,505,210,182,Medulla,right
134,3187,2808,503,233,173,"Medullary reticular nucleus, dorsal part",right
134,3016,2890,504,215,180,"Medullary reticular nucleus, dorsal part",right
134,3525,4191,496,261,291,Parvicellular reticular nucleus,left
138,2399,2228,511,159,119,Paramedian lobule,right
138,3148,2894,502,228,181,"Medullary reticular nucleus, dorsal part",right
138,2933,3861,502,206,264,Parasolitary nucleus,left
137,2986,2988,505,213,188,Medulla,right
137,3017,2886,504,215,180,"Medullary reticular nucleus, dorsal part",right
137,3150,4003,501,225,275,"Medullary reticular nucleus, dorsal part",left
140,3526,4186,495,261,291,Parvicellular reticular nucleus,left
140,3044,2879,503,219,179,"Medullary reticular nucleus, dorsal part",right
140,3202,2815,502,234,173,"Medullary reticular nucleus, dorsal part",right
139,3695,3548,496,277,238,Inferior olivary complex,left
139,3053,2838,503,219,175,"Medullary reticular nucleus, dorsal part",right
139,3135,2865,502,227,178,"Medullary reticular nucleus, dorsal part",right
147,2486,2132,508,167,111,Paramedian lobule,right
147,3103,2860,502,223,178,"Medullary reticular nucleus, dorsal part",right
147,2926,2821,503,207,174,"Spinal nucleus of the trigeminal, interpolar part",right
147,3569,3512,496,266,235,crossed tectospinal pathway,left
147,3039,4068,499,214,280,"Spinal nucleus of the trigeminal, interpolar part",left
147,3349,4451,496,244,312,"Spinal nucleus of the trigeminal, interpolar part",left
142,2918,3104,504,205,198,Parasolitary nucleus,right
143,3031,3987,500,213,274,Medulla,left
143,3425,4039,496,251,279,Parvicellular reticular nucleus,left
145,2493,2135,508,167,111,Paramedian lobule,right
145,2957,3988,500,207,274,Medulla,left
145,2979,3999,500,209,275,Medulla,left
145,3690,3546,495,276,238,Inferior olivary complex,left
146,3926,3911,491,296,269,Medulla,left
148,2969,3008,502,211,190,Medulla,right
148,3153,2884,500,228,180,"Medullary reticular nucleus, dorsal part",right
148,2988,3078,502,212,196,Nucleus of the solitary tract,right
149,3102,2880,501,223,179,"Medullary reticular nucleus, dorsal part",right
149,3731,3490,494,279,233,Inferior olivary complex,left
149,3296,2552,497,243,150,"Spinal nucleus of the trigeminal, caudal part",right
150,3162,2822,500,229,175,"Medullary reticular nucleus, dorsal part",right
153,3649,3900,492,271,268,"Lateral reticular nucleus, magnocellular part",left
156,3078,2878,500,221,179,"Medullary reticular nucleus, dorsal part",right
156,2972,2959,501,211,186,Medulla,right
156,3497,4169,493,258,290,Parvicellular reticular nucleus,left
156,3914,3806,489,295,260,Medulla,left
152,3823,3919,491,287,270,"Lateral reticular nucleus, magnocellular part",left
154,3267,4151,495,235,287,Parvicellular reticular nucleus,left
154,1919,2597,515,109,153,Crus 2,right
157,3560,4138,492,263,287,Parvicellular reticular nucleus,left
157,3350,4176,494,244,290,Parvicellular reticular nucleus,left
157,3270,4222,495,237,294,Parvicellular reticular nucleus,left
157,3831,3741,491,287,254,Medulla,left
157,2996,4001,498,210,275,Medulla,left
159,3696,3559,492,276,239,Medulla,left
159,3613,3909,492,268,269,"Lateral reticular nucleus, magnocellular part",left
158,2326,2601,507,150,155,Paramedian lobule,right
158,2918,3884,498,202,266,Cuneate nucleus,left
160,3004,2910,500,213,182,Medulla,right
160,3121,2851,498,225,177,"Medullary reticular nucleus, dorsal part",right
160,3725,4103,490,278,284,"Lateral reticular nucleus, magnocellular part",left
167,2272,2040,508,145,100,Crus 2,right
161,2939,3980,498,204,273,Cuneate nucleus,left
162,2947,2946,500,208,185,Medulla,right
164,3374,4169,492,245,290,Parvicellular reticular nucleus,left
164,2987,4055,496,209,279,Medulla,left
170,2256,2018,507,142,98,Crus 2,right
170,2704,2268,500,187,124,Paramedian lobule,right
170,3105,4069,494,219,281,"Spinal nucleus of the trigeminal, interpolar part",left
170,3218,4354,492,230,303,"Spinal nucleus of the trigeminal, interpolar part",left
165,2935,2950,499,207,185,Medulla,right
165,3041,4056,496,213,279,"Spinal nucleus of the trigeminal, interpolar part",left
165,3098,4161,495,219,288,"Spinal nucleus of the trigeminal, interpolar part",left
169,3264,4132,492,235,286,Parvicellular reticular nucleus,left
169,3911,3517,487,294,235,Medulla,left
171,3033,3063,497,216,195,Nucleus of the solitary tract,right
171,2959,3974,495,206,273,Cuneate nucleus,left
172,2318,2591,506,148,154,Paramedian lobule,right
172,3298,2615,494,242,156,"Spinal nucleus of the trigeminal, interpolar part",right
172,3280,4242,492,236,294,"Spinal nucleus of the trigeminal, interpolar part",left
173,3108,4063,493,220,280,"Spinal nucleus of the trigeminal, interpolar part",left
175,2142,2582,508,131,153,Paramedian lobule,right
175,2250,2041,506,142,101,Crus 2,right
174,2894,3803,496,201,258,Parasolitary nucleus,left
178,3582,2994,490,268,191,"Lateral reticular nucleus, magnocellular part",right
178,2888,2999,496,201,190,Parasolitary nucleus,right
178,3022,4051,493,211,279,Medulla,left
177,2975,4029,494,207,277,Medulla,left
181,2692,2275,499,185,126,Paramedian lobule,right
181,3150,2839,494,227,176,"Spinal nucleus of the trigeminal, interpolar part",right
181,3732,4100,486,278,284,"Paragigantocellular reticular nucleus, lateral part",left
181,2931,4068,494,202,280,Cuneate nucleus,left
180,3401,4133,489,247,286,Parvicellular reticular nucleus,left
180,2996,4018,493,209,276,Medulla,left
179,3541,2810,490,264,174,Intermediate reticular nucleus,right
179,2915,2994,496,204,190,Parasolitary nucleus,right
182,3056,2860,495,217,178,"Spinal nucleus of the trigeminal, interpolar part",right
182,2098,2662,507,126,160,Paramedian lobule,right
186,3212,2692,492,233,163,"Spinal nucleus of the trigeminal, interpolar part",right
186,3101,2849,494,222,177,"Spinal nucleus of the trigeminal, interpolar part",right
186,2374,2632,502,154,159,Copula pyramidis,right
185,2963,4009,492,205,276,Medulla,left
185,3338,2472,490,245,144,"Spinal nucleus of the trigeminal, interpolar part",right
185,3784,3485,486,282,233,Inferior olivary complex,left
187,2379,2636,502,154,159,Copula pyramidis,right
188,3566,3488,488,262,232,crossed tectospinal pathway,left
188,3933,3802,482,295,259,Inferior olivary complex,left
189,2026,3000,506,118,190,Folium-tuber vermis (VII),right
190,2940,4038,492,203,278,Cuneate nucleus,left
190,2238,2445,504,140,141,Paramedian lobule,right
190,3437,2592,488,254,154,"Spinal nucleus of the trigeminal, interpolar part",right
190,3777,3490,485,281,233,Inferior olivary complex,left
190,3799,3502,485,283,234,Inferior olivary complex,left
190,3819,3487,485,285,233,Medulla,left
194,2891,3718,492,199,251,Nucleus of the solitary tract,left
194,3692,3549,485,273,238,crossed tectospinal pathway,left
194,3802,2908,484,286,183,"Paragigantocellular reticular nucleus, lateral part",right
194,2889,3969,491,198,273,Spinal vestibular nucleus,left
191,2248,2428,504,141,139,Paramedian lobule,right
192,3757,3620,485,280,245,Inferior olivary complex,left
193,2246,2425,503,141,139,Paramedian lobule,right
193,3606,3448,487,266,229,Medulla,left
193,3649,3453,486,270,229,Inferior olivary complex,left
193,3757,2915,484,283,183,"Lateral reticular nucleus, magnocellular part",right
193,3810,3499,484,284,234,Inferior olivary complex,left
196,3377,4375,486,244,305,"Spinal nucleus of the trigeminal, interpolar part",left
196,3398,4385,486,247,306,"Spinal nucleus of the trigeminal, interpolar part",left
196,2902,3837,492,200,261,Parasolitary nucleus,left
197,3758,3621,484,279,245,Inferior olivary complex,left
195,3063,4102,489,214,283,"Spinal nucleus of the trigeminal, interpolar part",left
195,3778,3490,484,281,233,Inferior olivary complex,left
195,3801,3514,484,283,235,Inferior olivary complex,left
204,2117,1987,502,127,95,Crus 2,right
204,3740,3641,482,277,246,Medulla,left
204,3752,3637,482,278,246,Inferior olivary complex,left
204,2925,3990,489,201,274,Spinal vestibular nucleus,left
200,1902,2312,507,105,127,Crus 2,right
198,3126,2765,490,224,170,"Spinal nucleus of the trigeminal, interpolar part",right
198,2198,2392,503,136,136,Paramedian lobule,right
202,3106,4206,488,218,291,"Spinal nucleus of the trigeminal, interpolar part",left
202,3426,4357,485,249,304,"Spinal nucleus of the trigeminal, interpolar part",left
202,2879,3210,492,199,208,Nucleus of the solitary tract,right
202,3792,3503,483,282,234,Inferior olivary complex,left
201,2917,2755,492,203,169,Medulla,right
201,2962,4051,489,205,279,Medulla,left
201,3011,4040,489,209,278,Medulla,left
201,2947,2783,492,207,172,"Spinal nucleus of the trigeminal, interpolar part",right
205,3098,2795,490,221,173,"Spinal nucleus of the trigeminal, interpolar part",right
205,3225,2626,488,233,158,"Spinal nucleus of the trigeminal, interpolar part",right
203,3796,3589,482,282,241,Inferior olivary complex,left
203,3761,3623,482,279,245,Inferior olivary complex,left
206,3760,3627,482,279,245,Inferior olivary complex,left
206,2953,4144,488,203,287,Medulla,left
206,3392,2726,486,249,167,Parvicellular reticular nucleus,right
206,2927,2961,491,204,187,Parasolitary nucleus,right
210,3463,4266,483,252,296,Parvicellular reticular nucleus,left
210,3824,3500,481,284,234,Inferior olivary complex,left
210,3822,3510,481,284,235,Inferior olivary complex,left
214,3745,3625,480,277,245,Inferior olivary complex,left
