coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
214,1692,1945,1316,338,457,Copula pyramidis,right
217,2748,2338,1315,579,555,Dorsal motor nucleus of the vagus nerve,right
217,3123,2670,1314,663,634,"Medullary reticular nucleus, ventral part",left
219,1799,1974,1310,363,466,Pyramus (VIII),right
219,3108,2540,1316,657,606,"Medullary reticular nucleus, ventral part",left
219,2662,2356,1316,559,557,Medulla,right
220,2644,2381,1316,555,563,Medulla,right
221,3194,2625,1316,680,624,"Medullary reticular nucleus, ventral part",left
221,2882,2134,1310,613,509,Intermediate reticular nucleus,right
221,2887,2042,1308,619,489,Intermediate reticular nucleus,right
222,2698,1954,1304,583,468,"Medullary reticular nucleus, dorsal part",right
223,3202,2646,1314,682,629,"Medullary reticular nucleus, ventral part",left
224,2652,2321,1314,558,548,Nucleus of the solitary tract,right
225,2700,2344,1313,568,555,Dorsal motor nucleus of the vagus nerve,right
225,2880,2037,1306,619,488,Intermediate reticular nucleus,right
225,3093,2111,1313,664,508,"Medullary reticular nucleus, ventral part",right
225,2613,2396,1315,548,566,Medulla,right
225,2638,2324,1314,555,549,Nucleus of the solitary tract,right
225,2652,2349,1314,557,555,Nucleus of the solitary tract,right
227,2574,2400,1315,539,567,root,right
227,2742,2313,1310,578,548,Dorsal motor nucleus of the vagus nerve,right
229,2607,2226,1313,551,524,Cuneate nucleus,right
229,3129,2718,1308,668,645,"Medullary reticular nucleus, ventral part",left
229,2985,1925,1310,650,466,Intermediate reticular nucleus,right
230,3164,2635,1310,673,627,"Medullary reticular nucleus, ventral part",left
230,2602,2278,1313,548,537,Cuneate nucleus,right
230,3176,2695,1309,678,640,"Medullary reticular nucleus, ventral part",left
231,2536,2527,1316,528,597,Gracile nucleus,left
233,2827,2324,1307,597,552,Medulla,right
233,2598,2282,1312,548,537,Cuneate nucleus,right
233,2604,2328,1312,548,550,Nucleus of the solitary tract,right
233,2736,2298,1308,578,544,Medulla,right
234,2810,2882,1302,592,676,"Medullary reticular nucleus, dorsal part",left
235,2567,2256,1312,541,531,Cuneate nucleus,right
235,3146,2695,1305,671,640,"Medullary reticular nucleus, ventral part",left
235,2652,2495,1310,555,591,Nucleus of the solitary tract,left
238,1824,1851,1305,374,438,Copula pyramidis,right
238,2545,2281,1312,536,537,Medulla,right
238,2461,2254,1316,515,530,Gracile nucleus,right
238,2575,2328,1311,542,549,Gracile nucleus,right
237,2598,2342,1311,547,552,Nucleus of the solitary tract,right
237,2529,2330,1313,530,549,Gracile nucleus,right
237,2592,2301,1311,546,542,Nucleus of the solitary tract,right
236,3185,2085,1311,688,503,"Medullary reticular nucleus, ventral part",right
242,2719,2943,1298,573,688,"Medullary reticular nucleus, dorsal part",left
242,2578,2390,1309,542,564,Medulla,right
241,3068,2779,1300,656,658,"Medullary reticular nucleus, ventral part",left
241,3093,2172,1306,662,520,"Medullary reticular nucleus, ventral part",right
246,2436,2320,1312,508,546,root,right
246,2545,2294,1309,536,540,Gracile nucleus,right
246,2584,2317,1307,545,546,Nucleus of the solitary tract,right
243,3137,2721,1302,671,646,"Medullary reticular nucleus, ventral part",left
244,3177,2148,1307,682,517,"Medullary reticular nucleus, ventral part",right
244,3093,2205,1304,661,528,"Medullary reticular nucleus, ventral part",right
245,2510,2312,1311,527,544,Gracile nucleus,right
249,2538,2349,1308,534,554,Gracile nucleus,right
249,2947,1888,1300,646,457,"Medullary reticular nucleus, dorsal part",right
249,3064,2170,1301,656,519,"Medullary reticular nucleus, ventral part",right
249,2439,2320,1312,510,546,Gracile nucleus,right
249,3260,2380,1313,695,571,pyramidal decussation,left
250,2570,2402,1306,540,567,Medulla,right
253,3137,2804,1298,675,663,"Medullary reticular nucleus, ventral part",left
252,2562,2388,1306,538,564,Medulla,right
254,2518,2241,1307,533,527,Cuneate nucleus,right
254,2584,2282,1304,547,537,Nucleus of the solitary tract,right
254,3331,2208,1308,715,534,Medulla,right
258,2490,2263,1307,525,533,Gracile nucleus,right
258,2498,2299,1306,526,541,Gracile nucleus,right
258,2422,2306,1308,506,542,Gracile nucleus,right
258,2557,2361,1304,538,556,Nucleus of the solitary tract,right
258,2910,2295,1296,618,546,"Medullary reticular nucleus, ventral part",right
257,3138,2693,1298,672,641,"Medullary reticular nucleus, ventral part",left
257,3327,2209,1307,714,534,Medulla,right
259,2453,2361,1306,514,556,Gracile nucleus,right
259,2849,2853,1291,604,671,"Medullary reticular nucleus, dorsal part",left
260,2984,2236,1295,635,532,"Medullary reticular nucleus, ventral part",right
261,3184,2656,1299,682,633,"Medullary reticular nucleus, ventral part",left
262,2454,2306,1306,515,542,Gracile nucleus,right
266,2996,2136,1292,643,509,"Medullary reticular nucleus, ventral part",right
265,2508,2352,1303,528,553,Gracile nucleus,right
265,2975,2536,1294,629,606,"Medullary reticular nucleus, ventral part",left
265,2891,2152,1291,619,511,"Medullary reticular nucleus, ventral part",right
267,2678,1894,1285,586,454,"Medullary reticular nucleus, dorsal part",right
268,2989,1874,1296,660,453,Intermediate reticular nucleus,right
271,2408,2340,1302,505,550,root,right
271,2505,2365,1300,527,557,Gracile nucleus,right
271,2620,2178,1295,561,513,Medulla,right
270,3101,2140,1294,667,512,"Medullary reticular nucleus, ventral part",right
273,2558,2604,1299,537,615,Cuneate nucleus,left
273,2596,2102,1293,559,495,"Medullary reticular nucleus, dorsal part",right
273,2796,1935,1283,611,463,"Medullary reticular nucleus, dorsal part",right
273,3075,2232,1293,657,533,"Medullary reticular nucleus, ventral part",right
273,2639,2730,1293,555,642,Medulla,left
273,2920,2558,1289,618,611,"Medullary reticular nucleus, ventral part",left
273,3303,2444,1304,708,585,Medulla,left
274,2501,2254,1300,529,530,Cuneate nucleus,right
274,3156,2748,1292,680,653,"Medullary reticular nucleus, ventral part",left
276,1637,2406,1281,320,557,Pyramus (VIII),right
276,2875,2460,1289,610,586,"Medullary reticular nucleus, ventral part",left
276,3065,2840,1288,660,671,"Medullary reticular nucleus, ventral part",left
276,3419,2590,1303,735,614,Medulla,left
275,3222,2486,1300,688,595,Medulla,left
280,2984,2223,1288,637,529,"Medullary reticular nucleus, ventral part",right
282,2553,2106,1292,550,496,Medulla,right
282,3252,2421,1300,696,580,Medulla,left
282,1876,2065,1286,380,488,Pyramus (VIII),right
282,1884,2068,1286,382,489,Pyramus (VIII),right
281,2748,2072,1283,595,491,"Medullary reticular nucleus, dorsal part",right
281,2437,2331,1299,512,548,Gracile nucleus,right
281,2615,2499,1295,551,591,Dorsal motor nucleus of the vagus nerve,left
286,1866,2064,1284,378,488,Pyramus (VIII),right
286,1881,2069,1285,381,489,Pyramus (VIII),right
289,2432,2098,1297,520,495,Cuneate nucleus,right
289,3186,2666,1291,684,636,"Medullary reticular nucleus, ventral part",left
289,2696,2200,1287,578,519,Intermediate reticular nucleus,right
285,1831,2054,1284,370,486,Pyramus (VIII),right
285,2774,2173,1285,596,514,Intermediate reticular nucleus,right
285,3183,2668,1292,684,637,"Medullary reticular nucleus, ventral part",left
285,3246,2472,1299,695,592,Medulla,left
284,2412,2339,1298,506,550,Gracile nucleus,right
284,3071,2189,1289,658,522,"Medullary reticular nucleus, ventral part",right
284,3251,2470,1299,696,592,Medulla,left
291,2430,2292,1295,513,538,Gracile nucleus,right
290,2404,2037,1296,518,481,Cuneate nucleus,right
290,2956,2241,1284,631,532,"Medullary reticular nucleus, ventral part",right
292,2807,1975,1277,613,471,"Medullary reticular nucleus, dorsal part",right
