coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
34,2282,2903,1310,631,697,"Medullary reticular nucleus, dorsal part",left
45,2193,2193,1314,601,524,Intermediate reticular nucleus,right
50,2106,2354,1314,575,565,Dorsal motor nucleus of the vagus nerve,right
49,2385,2818,1309,655,678,Intermediate reticular nucleus,left
52,2018,2327,1316,553,556,Medulla,right
52,2046,2320,1315,559,555,Nucleus of the solitary tract,right
53,2015,2115,1315,555,502,Cuneate nucleus,right
55,1994,2316,1316,546,553,Medulla,right
55,2052,2328,1312,560,558,Nucleus of the solitary tract,right
56,2027,2303,1313,554,551,Nucleus of the solitary tract,right
58,2435,1820,1313,671,435,"Medullary reticular nucleus, dorsal part",right
59,2019,2323,1311,552,556,Nucleus of the solitary tract,right
59,2181,2556,1305,592,618,Intermediate reticular nucleus,left
61,2050,2203,1309,560,525,Cuneate nucleus,right
63,1974,2286,1313,541,545,Gracile nucleus,right
63,1971,2273,1313,539,543,Gracile nucleus,right
64,2350,2246,1310,639,538,"Medullary reticular nucleus, ventral part",right
71,2057,2295,1302,559,549,Dorsal motor nucleus of the vagus nerve,right
68,1994,2755,1300,548,662,Medulla,left
68,2451,2706,1308,668,652,"Medullary reticular nucleus, ventral part",left
68,1972,2312,1311,539,552,Gracile nucleus,right
67,1919,2323,1316,527,555,Gracile nucleus,right
67,2039,2345,1305,556,562,Nucleus of the solitary tract,right
69,2029,2299,1306,553,550,Nucleus of the solitary tract,right
69,2225,2315,1302,604,556,Medulla,right
70,2043,2338,1304,557,560,Nucleus of the solitary tract,right
75,1888,2795,1304,526,670,Medulla,left
75,2528,2666,1312,689,642,"Medullary reticular nucleus, ventral part",left
76,2496,2628,1311,679,635,"Medullary reticular nucleus, ventral part",left
78,2013,2315,1301,549,553,Nucleus of the solitary tract,right
78,2411,2194,1307,654,524,"Medullary reticular nucleus, ventral part",right
77,2130,2495,1297,577,602,Medulla,left
81,2013,2294,1300,549,548,Nucleus of the solitary tract,right
81,2021,2506,1299,548,602,Nucleus of the solitary tract,left
81,1949,2289,1306,533,546,Gracile nucleus,right
88,1973,2838,1290,546,681,"Spinal nucleus of the trigeminal, caudal part",left
82,1985,2297,1301,541,548,Nucleus of the solitary tract,right
86,1996,2312,1298,543,552,Nucleus of the solitary tract,right
87,2444,2156,1305,664,514,"Medullary reticular nucleus, ventral part",right
89,2100,2039,1288,573,482,"Medullary reticular nucleus, dorsal part",right
89,2015,2338,1295,548,559,Nucleus of the solitary tract,right
92,1921,2242,1304,527,533,Cuneate nucleus,right
91,1969,2282,1298,537,543,Nucleus of the solitary tract,right
94,2308,2571,1291,624,622,"Medullary reticular nucleus, ventral part",left
94,2259,2264,1290,612,541,"Medullary reticular nucleus, ventral part",right
96,2475,2670,1300,671,643,"Medullary reticular nucleus, ventral part",left
98,1922,2236,1301,527,531,Cuneate nucleus,right
98,2557,2309,1314,693,554,Medulla,right
100,2474,2139,1303,672,509,"Medullary reticular nucleus, ventral part",right
102,2514,2038,1306,685,485,"Medullary reticular nucleus, ventral part",right
102,1913,2240,1299,526,532,Cuneate nucleus,right
101,1939,2223,1297,531,529,Cuneate nucleus,right
