coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
211,2574,2681,1277,563,520,Medulla,right
211,2501,3000,1267,536,587,Dorsal motor nucleus of the vagus nerve,left
210,2480,3519,1266,535,703,"Spinal nucleus of the trigeminal, caudal part",left
210,2516,2527,1281,543,485,Medulla,right
213,2584,3534,1262,559,706,"Medullary reticular nucleus, dorsal part",left
213,3042,3248,1272,664,647,"Medullary reticular nucleus, ventral part",left
220,2562,3234,1262,549,639,Nucleus of the solitary tract,left
218,2512,2554,1275,540,492,Medulla,right
218,2381,2645,1266,505,508,Cuneate nucleus,right
218,2479,3267,1263,531,647,Nucleus of the solitary tract,left
221,2555,2468,1282,555,474,"Medullary reticular nucleus, dorsal part",right
225,3304,3144,1260,733,632,Medulla,left
225,3338,3301,1266,742,668,Medulla,left
225,3259,3080,1259,723,615,pyramid,left
225,3304,3299,1268,733,667,Medulla,left
225,3315,3149,1260,735,633,Medulla,left
225,3317,3324,1269,736,673,Medulla,left
225,3346,3201,1260,743,645,Medulla,left
226,3130,2961,1261,696,582,Inferior olivary complex,left
226,3155,2993,1260,700,592,Inferior olivary complex,left
226,3291,3102,1258,730,620,pyramid,left
226,3315,3134,1258,735,629,Medulla,left
227,2388,3230,1260,511,641,Parasolitary nucleus,left
227,3158,3012,1259,700,596,Inferior olivary complex,left
230,1734,2761,1277,355,536,Pyramus (VIII),right
230,3129,2998,1259,693,592,Inferior olivary complex,left
230,3148,3013,1259,697,597,Inferior olivary complex,left
229,2944,2942,1260,652,576,crossed tectospinal pathway,left
229,2670,3375,1258,575,669,"Medullary reticular nucleus, dorsal part",left
229,3157,2959,1259,702,582,Inferior olivary complex,left
229,3175,2950,1259,708,580,Inferior olivary complex,left
232,3105,2986,1258,687,588,Inferior olivary complex,left
233,2356,3261,1259,504,648,Cuneate nucleus,left
233,2387,3253,1259,511,646,Parasolitary nucleus,left
233,2486,3301,1257,533,654,Nucleus of the solitary tract,left
233,3123,2933,1259,695,575,Inferior olivary complex,left
233,3354,3215,1257,744,648,Medulla,left
235,2382,2385,1262,504,454,Cuneate nucleus,right
235,2497,2541,1265,535,489,Cuneate nucleus,right
235,2773,3564,1257,599,710,"Medullary reticular nucleus, dorsal part",left
235,2782,3093,1253,603,604,"Medullary reticular nucleus, ventral part",left
235,2877,2838,1261,641,558,Medulla,right
235,3116,2944,1257,691,577,Inferior olivary complex,left
234,3125,2960,1257,693,582,Inferior olivary complex,left
234,3128,2948,1257,695,579,Inferior olivary complex,left
234,3341,3227,1257,740,650,Medulla,left
234,3128,2939,1258,696,576,Inferior olivary complex,left
236,3325,3314,1262,737,670,Medulla,left
236,3309,3266,1260,731,659,Medulla,left
240,2335,3196,1258,499,633,Medulla,left
241,2464,3327,1254,529,659,Nucleus of the solitary tract,left
241,2423,3318,1255,520,659,Parasolitary nucleus,left
241,2453,3323,1254,527,659,Nucleus of the solitary tract,left
241,3198,3054,1254,706,607,Inferior olivary complex,left
241,3226,3087,1254,711,615,Inferior olivary complex,left
241,3233,3079,1253,713,614,Inferior olivary complex,left
241,3344,3327,1259,742,672,Medulla,left
242,2470,3361,1253,531,666,Nucleus of the solitary tract,left
242,3276,3106,1252,722,620,Medulla,left
242,3309,3343,1261,732,675,Medulla,left
242,3345,3351,1259,742,677,Medulla,left
242,2767,2788,1261,614,549,"Medullary reticular nucleus, ventral part",right
242,3246,3121,1254,714,624,Inferior olivary complex,left
243,2467,2368,1264,525,452,Medulla,right
243,3218,3108,1253,708,621,Inferior olivary complex,left
243,3316,3317,1259,733,669,Medulla,left
243,3338,3330,1258,740,673,Medulla,left
244,3217,3665,1262,703,732,"Lateral reticular nucleus, magnocellular part",left
244,3316,3362,1261,733,678,Medulla,left
245,3268,3377,1264,722,680,"Lateral reticular nucleus, magnocellular part",left
245,3330,3311,1257,737,668,Medulla,left
245,3241,3081,1252,714,614,Inferior olivary complex,left
247,2478,3367,1251,533,667,Nucleus of the solitary tract,left
247,2754,3061,1248,597,598,Nucleus of Roller,left
247,3228,3093,1251,710,617,Inferior olivary complex,left
246,3263,3119,1251,719,623,Inferior olivary complex,left
246,3348,3244,1252,741,654,Medulla,left
252,2507,2574,1257,536,496,Nucleus of the solitary tract,right
252,2380,3299,1251,510,654,Parasolitary nucleus,left
252,3178,2993,1249,701,590,Inferior olivary complex,left
252,3179,3028,1249,699,599,Inferior olivary complex,left
249,2341,3258,1254,501,647,Cuneate nucleus,left
249,2395,3313,1252,513,657,Parasolitary nucleus,left
249,2499,2445,1263,536,469,Medulla,right
249,3148,2985,1251,695,587,Inferior olivary complex,left
249,3164,2990,1251,698,589,Inferior olivary complex,left
249,3149,2976,1251,695,585,Inferior olivary complex,left
249,3149,2952,1251,697,578,Inferior olivary complex,left
249,3152,3012,1251,694,594,Inferior olivary complex,left
249,3170,3018,1251,698,597,Inferior olivary complex,left
250,2276,3395,1254,485,677,External cuneate nucleus,left
250,2469,2455,1259,527,471,Medulla,right
250,3139,2996,1250,691,590,Inferior olivary complex,left
250,3139,2979,1250,692,586,Inferior olivary complex,left
250,3161,3001,1250,696,591,Inferior olivary complex,left
250,3184,2985,1249,703,588,Inferior olivary complex,left
248,2481,2411,1262,530,461,Medulla,right
248,2771,3048,1248,601,596,"Medullary reticular nucleus, ventral part",left
248,3161,2976,1251,698,585,Inferior olivary complex,left
254,2561,3316,1248,550,655,"Medullary reticular nucleus, dorsal part",left
254,2419,3442,1249,520,682,Medulla,left
254,2404,2535,1252,511,487,Parasolitary nucleus,right
251,2918,3477,1255,633,689,"Medullary reticular nucleus, dorsal part",left
251,1563,2422,1288,330,460,Pyramus (VIII),right
253,3164,2999,1249,697,591,Inferior olivary complex,left
257,2467,3356,1248,530,664,Nucleus of the solitary tract,left
257,3099,2940,1248,683,575,Inferior olivary complex,left
257,3346,3185,1245,737,639,Medulla,left
258,2584,2935,1250,557,573,Medulla,left
258,3343,3251,1247,737,653,Medulla,left
258,3355,3197,1243,740,641,Medulla,left
260,3332,3363,1252,735,678,Medulla,left
260,3219,3121,1247,705,621,Medulla,left
260,3261,3151,1246,714,629,Inferior olivary complex,left
260,3336,3380,1252,736,681,Medulla,left
260,3229,2971,1243,713,583,Inferior olivary complex,left
260,3228,3043,1244,710,603,Inferior olivary complex,left
260,3245,3037,1243,714,601,Medulla,left
260,3295,3179,1246,723,636,Inferior olivary complex,left
260,3213,2961,1244,710,580,Inferior olivary complex,left
260,3234,2999,1243,713,591,Inferior olivary complex,left
260,3245,3056,1244,713,606,Medulla,left
260,3312,3296,1251,728,662,Medulla,left
260,3343,3199,1243,736,642,Medulla,left
259,2499,3256,1246,536,643,Nucleus of the solitary tract,left
259,3330,3330,1251,734,671,Medulla,left
259,3268,3132,1245,717,624,Inferior olivary complex,left
259,3333,3185,1243,734,638,Inferior olivary complex,left
259,3354,3327,1249,741,670,Medulla,left
259,3130,2937,1246,690,573,Inferior olivary complex,left
259,3271,3125,1245,717,623,Inferior olivary complex,left
259,3324,3365,1252,734,678,Medulla,left
261,3324,3319,1251,733,668,Medulla,left
261,3241,2985,1243,715,587,Inferior olivary complex,left
261,3347,3329,1250,738,671,Medulla,left
261,2538,2604,1255,546,502,Nucleus of the solitary tract,right
261,3199,3080,1246,701,611,Inferior olivary complex,left
261,3365,3272,1245,743,658,Medulla,left
262,3216,3021,1244,707,596,Inferior olivary complex,left
262,3171,3056,1245,694,604,Medulla,left
262,3192,3015,1244,701,594,Inferior olivary complex,left
262,3218,3066,1244,706,608,Inferior olivary complex,left
262,3249,3128,1245,712,624,Inferior olivary complex,left
262,3278,3121,1243,720,622,Inferior olivary complex,left
262,3289,3168,1245,721,634,Inferior olivary complex,left
262,3198,3011,1244,703,593,Inferior olivary complex,left
262,3229,3145,1247,706,627,Medulla,left
