coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
41,2530,2155,1316,599,462,"Medullary reticular nucleus, dorsal part",right
42,2596,2168,1316,615,464,"Medullary reticular nucleus, dorsal part",right
43,2484,2241,1316,587,481,"Medullary reticular nucleus, dorsal part",right
43,2602,2183,1315,616,467,"Medullary reticular nucleus, dorsal part",right
43,2551,2227,1315,603,476,"Medullary reticular nucleus, dorsal part",right
44,2599,2173,1315,616,465,"Medullary reticular nucleus, dorsal part",right
45,2598,2196,1315,616,469,"Medullary reticular nucleus, dorsal part",right
45,2660,2116,1316,631,451,"Medullary reticular nucleus, dorsal part",right
46,2481,2191,1314,586,470,"Medullary reticular nucleus, dorsal part",right
47,2452,2230,1314,578,479,"Medullary reticular nucleus, dorsal part",right
50,2449,2235,1313,578,480,"Medullary reticular nucleus, dorsal part",right
50,2477,2196,1311,584,471,"Medullary reticular nucleus, dorsal part",right
50,2511,2509,1316,591,542,Medulla,right
50,2535,2475,1315,597,533,Intermediate reticular nucleus,right
51,2432,2497,1316,572,539,Medulla,right
51,2449,2301,1313,577,494,"Medullary reticular nucleus, dorsal part",right
51,2553,2170,1309,604,464,"Medullary reticular nucleus, dorsal part",right
51,2453,2326,1313,578,500,"Medullary reticular nucleus, dorsal part",right
51,2490,2197,1310,588,470,"Medullary reticular nucleus, dorsal part",right
51,2505,2382,1313,590,511,"Medullary reticular nucleus, dorsal part",right
51,2416,2337,1315,569,503,"Medullary reticular nucleus, dorsal part",right
52,2420,2356,1315,570,507,"Medullary reticular nucleus, dorsal part",right
52,2448,2317,1313,577,498,"Medullary reticular nucleus, dorsal part",right
52,2456,2179,1310,579,468,"Medullary reticular nucleus, dorsal part",right
52,2448,2203,1311,578,473,"Medullary reticular nucleus, dorsal part",right
52,2465,2383,1314,580,513,"Medullary reticular nucleus, dorsal part",right
53,2619,2154,1310,620,460,"Medullary reticular nucleus, dorsal part",right
53,2451,2362,1314,577,508,"Medullary reticular nucleus, dorsal part",right
53,2459,2549,1316,579,552,Dorsal motor nucleus of the vagus nerve,right
53,2594,2173,1310,614,464,"Medullary reticular nucleus, dorsal part",right
53,2436,2419,1315,573,522,Medulla,right
53,2538,2373,1312,598,509,"Medullary reticular nucleus, dorsal part",right
54,2428,2547,1315,572,551,Dorsal motor nucleus of the vagus nerve,right
54,2420,2279,1312,570,490,"Medullary reticular nucleus, dorsal part",right
54,2430,2266,1312,573,487,"Medullary reticular nucleus, dorsal part",right
55,2412,2419,1314,567,522,Cuneate nucleus,right
55,2752,3043,1310,657,671,Intermediate reticular nucleus,left
56,2416,2287,1312,569,492,"Medullary reticular nucleus, dorsal part",right
