coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
177,2154,2434,1316,507,521,root,right
181,2269,2963,1316,525,633,Medulla,left
188,2142,2443,1307,503,523,Gracile nucleus,right
205,2185,2470,1299,510,529,Gracile nucleus,right
206,2596,3172,1304,599,674,"Medullary reticular nucleus, dorsal part",left
209,2585,3170,1303,597,673,"Medullary reticular nucleus, dorsal part",left
214,3126,2927,1275,724,640,Medulla,left
221,2706,2077,1301,639,456,"Medullary reticular nucleus, dorsal part",right
227,3199,3004,1265,738,658,Medulla,left
228,2145,3060,1277,491,654,Cuneate nucleus,left
228,3192,3009,1266,735,659,Medulla,left
233,3218,2976,1263,742,651,Medulla,left
233,3040,3333,1273,703,716,"Lateral reticular nucleus, magnocellular part",left
233,2147,3059,1275,490,653,Cuneate nucleus,left
232,3235,2925,1264,745,641,Medulla,left
232,3006,3508,1277,693,744,"Medullary reticular nucleus, dorsal part",left
236,2329,3197,1279,527,678,Medulla,left
234,3232,3076,1261,744,672,Medulla,left
238,3236,2996,1259,744,655,Medulla,left
238,3159,2885,1261,726,631,Inferior olivary complex,left
243,2559,2865,1276,596,611,"Medullary reticular nucleus, ventral part",left
249,3225,3044,1254,740,665,Medulla,left
249,3227,2941,1255,740,643,Medulla,left
249,3191,3025,1255,732,660,Medulla,left
249,3209,3059,1254,736,668,Medulla,left
248,3022,2233,1267,707,483,Medulla,right
250,3190,3013,1253,731,658,Medulla,left
250,2851,1958,1275,673,434,"Medullary reticular nucleus, dorsal part",right
251,3233,2995,1252,742,654,Medulla,left
251,3229,3028,1251,741,662,Medulla,left
251,2233,3012,1265,507,637,Cuneate nucleus,left
251,2944,3422,1270,677,722,"Medullary reticular nucleus, dorsal part",left
253,2565,2864,1271,596,612,"Medullary reticular nucleus, ventral part",left
253,3245,3010,1251,745,657,Medulla,left
252,2663,2027,1282,623,448,"Medullary reticular nucleus, dorsal part",right
254,2203,2285,1267,510,494,Cuneate nucleus,right
254,3238,2989,1251,743,653,Medulla,left
258,2199,2268,1265,508,491,Cuneate nucleus,right
258,2558,2858,1267,594,611,"Medullary reticular nucleus, ventral part",left
259,2303,3135,1262,521,663,Cuneate nucleus,left
261,2226,2322,1265,513,501,Cuneate nucleus,right
