coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
242,2547,2476,1310,587,502,"Medullary reticular nucleus, dorsal part",right
253,2455,2621,1312,565,535,Medulla,right
247,2483,2530,1310,571,515,"Medullary reticular nucleus, dorsal part",right
252,2925,2588,1315,694,523,"Medullary reticular nucleus, ventral part",right
254,2481,2521,1307,568,513,"Medullary reticular nucleus, dorsal part",right
259,2923,2434,1310,691,490,"Medullary reticular nucleus, ventral part",right
259,2948,3114,1309,721,634,Medulla,left
259,2997,2641,1312,711,533,Medulla,right
266,2472,2501,1300,564,509,"Medullary reticular nucleus, dorsal part",right
266,2489,2440,1297,568,496,"Medullary reticular nucleus, dorsal part",right
266,2870,2598,1307,679,527,"Medullary reticular nucleus, ventral part",right
269,2910,3009,1305,704,611,Medulla,left
271,2457,2373,1293,556,481,"Medullary reticular nucleus, dorsal part",right
271,2985,2533,1306,706,511,Medulla,right
272,2933,2607,1306,694,527,Medulla,right
276,2679,2359,1290,621,477,Intermediate reticular nucleus,right
276,3009,2624,1305,712,530,Medulla,right
276,1449,2366,1300,341,482,Pyramus (VIII),right
276,2490,2373,1290,565,481,"Medullary reticular nucleus, dorsal part",right
276,1438,2364,1300,338,482,Pyramus (VIII),right
276,2955,2552,1304,698,515,Medulla,right
275,2915,2573,1303,689,521,"Medullary reticular nucleus, ventral part",right
277,2781,2581,1301,653,525,"Medullary reticular nucleus, ventral part",right
279,2842,3177,1301,695,647,"Medullary reticular nucleus, ventral part",left
279,2721,2926,1297,646,595,Medulla,left
278,2931,3138,1301,716,639,Medulla,left
280,2964,2651,1302,701,537,Medulla,right
284,2485,2395,1287,564,486,"Medullary reticular nucleus, dorsal part",right
289,2841,2654,1297,668,540,Medulla,right
291,2919,2630,1296,687,533,Medulla,right
291,2939,2519,1296,692,509,"Medullary reticular nucleus, ventral part",right
290,2970,2435,1297,699,490,Medulla,right
292,2398,2526,1289,544,516,Nucleus of the solitary tract,right
294,2436,2429,1285,551,494,Medulla,right
293,2951,2511,1296,695,507,Medulla,right
299,2426,2472,1283,549,504,Nucleus of the solitary tract,right
298,2491,2347,1280,564,475,"Medullary reticular nucleus, dorsal part",right
301,2876,3083,1290,697,627,Medulla,left
310,2486,2261,1274,562,457,"Medullary reticular nucleus, dorsal part",right
313,2727,2848,1283,638,581,Medulla,left
316,2656,3318,1281,640,684,"Medullary reticular nucleus, dorsal part",left
317,2262,2563,1276,512,526,Nucleus of the solitary tract,right
318,2686,2223,1268,617,450,"Medullary reticular nucleus, dorsal part",right
323,2998,2589,1281,700,522,Medulla,right
321,2516,2230,1269,570,450,"Medullary reticular nucleus, dorsal part",right
321,2577,2240,1268,586,453,"Medullary reticular nucleus, dorsal part",right
326,2385,2361,1270,538,479,Medulla,right
327,2219,3261,1278,520,680,Medulla,left
328,2405,2401,1269,544,488,Medulla,right
325,2905,2640,1280,678,537,Medulla,right
329,2403,2387,1269,544,485,Medulla,right
330,2783,3397,1276,674,702,Intermediate reticular nucleus,left
330,2474,2320,1267,561,470,"Medullary reticular nucleus, dorsal part",right
333,2374,2365,1267,536,480,Cuneate nucleus,right
334,3019,2535,1276,703,510,Medulla,right
335,2921,2616,1273,680,531,Medulla,right
337,2314,3209,1271,540,668,Medulla,left
337,2946,2486,1274,686,501,"Medullary reticular nucleus, ventral part",right
337,3082,3084,1272,743,632,Medulla,left
338,2428,2432,1265,552,494,Medulla,right
338,2819,2661,1271,655,543,Medulla,right
