coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
35,2255,2976,1316,695,627,"Medullary reticular nucleus, ventral part",left
41,2006,2207,1314,627,454,"Medullary reticular nucleus, dorsal part",right
42,2003,2210,1313,626,455,"Medullary reticular nucleus, dorsal part",right
46,2322,3008,1312,711,635,Medulla,left
47,1938,2311,1314,606,476,"Medullary reticular nucleus, dorsal part",right
50,2013,3128,1309,622,665,"Medullary reticular nucleus, dorsal part",left
51,2319,3021,1309,710,638,Medulla,left
52,1937,2354,1313,603,486,"Medullary reticular nucleus, dorsal part",right
59,1875,2406,1315,583,496,"Medullary reticular nucleus, dorsal part",right
61,1849,2380,1316,577,490,"Medullary reticular nucleus, dorsal part",right
61,2201,2493,1308,678,522,"Medullary reticular nucleus, ventral part",right
62,1889,2386,1312,587,492,"Medullary reticular nucleus, dorsal part",right
63,2046,2666,1309,626,557,"Medullary reticular nucleus, ventral part",right
63,2242,2399,1307,689,503,"Medullary reticular nucleus, ventral part",right
67,1827,2450,1316,567,505,"Medullary reticular nucleus, dorsal part",right
67,1917,2325,1305,594,479,"Medullary reticular nucleus, dorsal part",right
67,2356,2789,1306,718,587,Medulla,left
65,2304,3004,1303,703,635,Medulla,left
65,2372,2978,1304,722,629,Medulla,left
66,2238,2559,1307,687,537,Medulla,right
68,1848,2446,1314,574,504,"Medullary reticular nucleus, dorsal part",right
68,1842,2428,1315,572,501,"Medullary reticular nucleus, dorsal part",right
68,1912,2413,1309,591,499,"Medullary reticular nucleus, dorsal part",right
69,1834,2465,1316,570,509,"Medullary reticular nucleus, dorsal part",right
69,1875,2438,1312,581,504,"Medullary reticular nucleus, dorsal part",right
69,1867,2503,1315,577,518,"Medullary reticular nucleus, dorsal part",right
69,1892,2328,1307,587,479,"Medullary reticular nucleus, dorsal part",right
70,1820,2440,1316,566,503,"Medullary reticular nucleus, dorsal part",right
70,1836,2409,1313,570,496,"Medullary reticular nucleus, dorsal part",right
70,2395,2873,1304,728,606,Medulla,left
74,1855,2534,1314,573,525,Medulla,right
74,2162,3105,1294,658,658,"Medullary reticular nucleus, ventral part",left
74,2168,2483,1301,666,520,"Medullary reticular nucleus, ventral part",right
76,1804,2471,1315,560,510,Cuneate nucleus,right
76,2274,3029,1296,692,641,"Medullary reticular nucleus, ventral part",left
73,2344,2791,1304,714,587,Medulla,left
73,2449,2884,1302,743,609,Medulla,left
72,1925,3085,1304,590,655,"Medullary reticular nucleus, dorsal part",left
75,2286,2835,1301,695,597,Medulla,left
77,1784,2392,1314,556,491,"Medullary reticular nucleus, dorsal part",right
77,1868,2564,1313,576,532,Medulla,right
79,1787,2403,1312,555,495,Cuneate nucleus,right
81,2079,3336,1292,635,713,"Medullary reticular nucleus, dorsal part",left
81,1806,2447,1312,560,504,Cuneate nucleus,right
81,1858,2591,1312,572,538,Medulla,right
82,1812,2480,1312,560,512,Cuneate nucleus,right
82,1901,2606,1309,582,542,Medulla,right
82,1814,2393,1309,563,493,"Medullary reticular nucleus, dorsal part",right
82,1823,2658,1315,562,554,Medulla,right
82,2281,3146,1292,690,667,"Medullary reticular nucleus, ventral part",left
87,1776,2543,1315,550,527,Cuneate nucleus,right
84,1855,2368,1303,573,488,"Medullary reticular nucleus, dorsal part",right
84,2112,2615,1298,642,547,Medulla,right
84,1797,3091,1311,552,656,Medulla,left
83,1790,2602,1316,554,539,Medulla,right
83,1810,2408,1309,561,496,"Medullary reticular nucleus, dorsal part",right
83,1821,2673,1315,560,557,Medulla,right
83,1812,2839,1316,556,597,Medulla,left
83,1817,2738,1316,558,573,Medulla,left
83,1852,2654,1312,568,553,Dorsal motor nucleus of the vagus nerve,right
83,1931,2473,1303,592,513,Intermediate reticular nucleus,right
83,2325,3019,1294,704,639,Medulla,left
83,1851,2372,1304,572,488,"Medullary reticular nucleus, dorsal part",right
88,1760,2511,1315,546,518,Cuneate nucleus,right
88,1778,2587,1315,551,536,Cuneate nucleus,right
88,1812,2646,1314,557,550,Nucleus of the solitary tract,right
88,1790,2613,1315,553,543,Nucleus of the solitary tract,right
86,1791,2557,1315,554,529,Cuneate nucleus,right
86,1792,2460,1312,555,507,Cuneate nucleus,right
86,1805,2587,1314,557,536,Cuneate nucleus,right
86,1935,2435,1300,594,504,"Medullary reticular nucleus, dorsal part",right
86,1782,2574,1316,551,534,Cuneate nucleus,right
