coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
20,2523,2408,1307,673,658,"Medullary reticular nucleus, ventral part",left
27,2565,2354,1308,682,646,"Medullary reticular nucleus, ventral part",left
28,2483,2439,1299,662,664,"Medullary reticular nucleus, ventral part",left
36,2611,2378,1306,692,651,"Medullary reticular nucleus, ventral part",left
43,2552,2367,1300,676,647,"Medullary reticular nucleus, ventral part",left
44,2618,2352,1305,694,644,"Medullary reticular nucleus, ventral part",left
45,2065,2239,1314,555,612,Cuneate nucleus,left
49,2096,2155,1314,562,590,Medulla,left
50,2550,2405,1296,675,656,"Medullary reticular nucleus, ventral part",left
53,2119,2012,1314,570,551,Dorsal motor nucleus of the vagus nerve,right
53,2602,1784,1316,696,502,"Medullary reticular nucleus, ventral part",right
58,2076,2023,1313,559,554,Nucleus of the solitary tract,right
58,2100,2000,1312,565,547,Dorsal motor nucleus of the vagus nerve,right
58,2060,2063,1313,555,565,Nucleus of the solitary tract,right
56,2082,1904,1315,562,523,Cuneate nucleus,right
57,2142,2185,1305,572,598,Medulla,left
59,2634,1780,1315,704,501,Medulla,right
61,2115,2015,1310,568,551,Dorsal motor nucleus of the vagus nerve,right
61,2002,2033,1316,542,556,Gracile nucleus,right
62,2016,2024,1315,545,553,Gracile nucleus,right
62,2059,1998,1313,555,547,Nucleus of the solitary tract,right
62,2092,2070,1309,561,566,Nucleus of the solitary tract,right
63,2504,2367,1289,663,646,"Medullary reticular nucleus, ventral part",left
65,2544,2384,1291,673,650,"Medullary reticular nucleus, ventral part",left
67,2603,1852,1310,696,517,"Medullary reticular nucleus, ventral part",right
66,2080,2038,1309,559,557,Dorsal motor nucleus of the vagus nerve,right
66,2606,2350,1295,688,643,"Medullary reticular nucleus, ventral part",left
68,2057,2026,1310,553,553,Nucleus of the solitary tract,right
68,2601,1975,1310,695,549,Medulla,right
69,2062,2014,1309,554,550,Nucleus of the solitary tract,right
69,2045,2003,1311,551,547,Nucleus of the solitary tract,right
70,2027,2008,1311,546,548,Nucleus of the solitary tract,right
74,2410,1894,1296,643,524,"Medullary reticular nucleus, ventral part",right
