coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
28,2487,2747,1315,578,531,Medulla,right
29,2572,2494,1297,598,470,"Medullary reticular nucleus, dorsal part",right
33,2479,2768,1314,577,537,Medulla,right
33,2564,2487,1294,597,468,"Medullary reticular nucleus, dorsal part",right
33,2459,2727,1313,572,527,Medulla,right
38,2436,3233,1306,574,653,"Medullary reticular nucleus, dorsal part",left
45,2775,2146,1292,652,389,"Spinal nucleus of the trigeminal, caudal part",right
49,2443,2726,1306,567,528,Medulla,right
66,2858,2691,1304,668,505,"Medullary reticular nucleus, ventral part",right
66,2481,2759,1297,576,536,Medulla,right
67,2486,2951,1299,582,585,Hypoglossal nucleus,left
69,2382,2645,1298,550,511,Cuneate nucleus,right
69,2500,2779,1296,582,540,Hypoglossal nucleus,right
81,2600,2908,1294,610,571,Medulla,left
84,2247,2881,1301,523,572,Medulla,left
86,2830,3265,1296,675,659,"Medullary reticular nucleus, ventral part",left
89,1900,2646,1311,468,517,Uvula (IX),right
90,2836,3261,1295,676,657,"Medullary reticular nucleus, ventral part",left
92,3004,2196,1283,709,393,dorsal spinocerebellar tract,right
93,1881,2582,1310,464,500,Uvula (IX),right
98,2908,2263,1276,685,415,"Medullary reticular nucleus, dorsal part",right
98,2987,2211,1280,704,398,dorsal spinocerebellar tract,right
98,2388,2797,1289,555,549,Dorsal motor nucleus of the vagus nerve,right
98,2898,2263,1276,682,416,"Medullary reticular nucleus, dorsal part",right
98,3023,2299,1282,715,416,"Lateral reticular nucleus, magnocellular part",right
97,2996,2192,1281,707,393,dorsal spinocerebellar tract,right
97,1863,2558,1310,461,495,Uvula (IX),right
99,2984,2223,1279,704,402,rubrospinal tract,right
99,2989,2204,1280,705,397,dorsal spinocerebellar tract,right
101,1854,3383,1316,470,698,Uvula (IX),left
101,1915,3059,1304,472,616,Uvula (IX),left
101,1919,2488,1306,471,478,Uvula (IX),right
100,3000,2187,1280,708,391,dorsal spinocerebellar tract,right
100,1867,2951,1307,461,591,Uvula (IX),left
100,2982,2169,1280,703,389,dorsal spinocerebellar tract,right
100,2989,2173,1280,706,390,dorsal spinocerebellar tract,right
102,2972,2154,1279,700,386,dorsal spinocerebellar tract,right
105,1900,2813,1304,469,559,Uvula (IX),right
105,2995,2182,1279,707,391,dorsal spinocerebellar tract,right
108,2307,2556,1285,533,494,Cuneate nucleus,right
108,1689,2638,1314,423,516,Uvula (IX),right
107,1697,2559,1316,424,497,Uvula (IX),right
